"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.260917978E0,1.063311100E-2,-3.474235535E-3,-2.175988555E-1
1.265695426E0,-4.920268059E-2,9.229660034E-3,-2.718820572E-1
1.270472874E0,-1.098347902E-1,1.534175873E-2,-2.991570532E-1
1.275250374E0,-1.570707560E-1,4.224777222E-3,-3.185796738E-1
1.280027822E0,-1.708940268E-1,-3.829956055E-3,-3.235007823E-1
1.284805269E0,-1.858720779E-1,-8.254051208E-3,-2.841377258E-1
1.289582769E0,-1.848535538E-1,-1.087856293E-2,-2.291900516E-1
1.294360217E0,-1.245806217E-1,-9.930610657E-3,-1.675958037E-1
1.299137665E0,-7.259595394E-2,-1.434803009E-2,-1.005190015E-1
1.303915165E0,-2.867054939E-2,1.865863800E-2,-3.755789995E-2
1.308692613E0,3.514361382E-2,1.936340332E-2,1.904958487E-2
1.313470061E0,6.525206566E-2,4.643440247E-3,5.151766539E-2
1.318247561E0,7.752192020E-2,1.854991913E-2,9.747147560E-2
1.323025009E0,6.843221188E-2,2.759742737E-2,1.212920547E-1
1.327802457E0,3.700327873E-2,1.641273499E-2,1.313676238E-1
1.332579957E0,1.295399666E-2,1.599216461E-2,1.189370155E-1
1.337357405E0,-1.931571960E-2,2.978515625E-2,9.483373165E-2
1.342134853E0,-3.415560722E-2,2.388572693E-2,6.254327297E-2
1.346912353E0,-5.185925961E-2,9.139060974E-3,3.341978788E-2
1.351689801E0,-7.962846756E-2,9.330749512E-3,-2.663075924E-3
1.356467249E0,-8.055353165E-2,3.147315979E-2,-4.460358620E-2
1.361244749E0,-6.202840805E-2,1.216888428E-3,-7.567006350E-2
1.366022197E0,-5.851984024E-2,-3.269195557E-3,-8.293330669E-2
1.370799644E0,-2.128100395E-2,2.956390381E-3,-7.597643137E-2
1.375577144E0,-3.830313683E-3,-1.279258728E-2,-5.610954762E-2
1.380354592E0,2.804875374E-3,-3.850746155E-2,-3.092181683E-2
1.385132040E0,1.178967953E-2,-1.832103729E-2,5.503892899E-4
1.389909540E0,2.899777889E-2,-4.835128784E-3,1.229244471E-2
1.394686988E0,5.183577538E-3,-1.341247559E-2,3.472656012E-2
1.399464436E0,-1.367545128E-2,-5.904197693E-3,4.399687052E-2
1.404241936E0,-2.711808681E-2,1.517295837E-3,5.390232801E-2
1.409019384E0,-5.234014988E-2,6.497383118E-3,6.256639957E-2
1.413796832E0,-5.487966537E-2,-6.387710571E-3,5.768853426E-2
1.418574332E0,-5.321896076E-2,-6.114959717E-3,4.284054041E-2
1.423351780E0,-3.977024555E-2,1.311779022E-2,3.652274609E-2
1.428129228E0,-4.311382771E-2,7.849693298E-3,3.568989038E-2
1.432906676E0,-5.293035507E-2,-9.393692017E-4,2.726924419E-2
